Donor Type,Donor Age,Donor State of Residence,All Donors - All ABO,All Donors - O,All Donors - A,All Donors - B,All Donors - AB,All Donors - Unknown,Kidney - All ABO,Kidney - O,Kidney - A,Kidney - B,Kidney - AB,Kidney - Unknown,Liver - All ABO,Liver - O,Liver - A,Liver - B,Liver - AB,Liver - Unknown,Heart - All ABO,Heart - O,Heart - A,Heart - B,Heart - AB,Heart - Unknown,Pancreas - All ABO,Pancreas - O,Pancreas - A,Pancreas - B,Pancreas - AB,Pancreas - Unknown,Lung - All ABO,Lung - O,Lung - A,Lung - B,Lung - AB,Lung - Unknown,Intestine - All ABO,Intestine - O,Intestine - A,Intestine - B,Intestine - AB,Intestine - Unknown
All Donor Types,All Ages,All Donor States of Residence,387089,211740,127299,38792,9165,93,360646,197238,118585,36145,8590,88,187160,91581,69000,21029,5544,6,78109,40019,28268,8078,1742,2,46574,23379,17299,4971,923,2,39849,20340,14341,4270,898,0,3430,1809,1211,333,77,0
,,Alabama,6338,3546,2022,640,130,0,6014,3384,1907,599,124,0,3111,1524,1148,357,82,0,1193,581,452,138,22,0,603,314,229,48,12,0,572,293,207,57,15,0,36,22,11,2,1,0
,,Alaska,1008,524,370,86,28,0,979,511,360,80,28,0,499,220,213,52,14,0,210,98,93,16,3,0,150,72,67,10,1,0,129,55,58,13,3,0,1,1,0,0,0,0
,,Arizona,7007,4066,2226,572,140,3,6666,3860,2115,553,135,3,3242,1671,1183,304,84,0,1341,711,486,128,16,0,687,357,244,75,11,0,754,436,253,56,9,0,45,26,14,4,1,0
,,Arkansas,3121,1677,1070,294,80,0,2938,1580,1009,277,72,0,1766,844,673,191,58,0,811,396,315,78,22,0,419,220,156,37,6,0,372,175,145,43,9,0,56,33,20,3,0,0
,,California,39248,22194,12071,4055,922,6,36774,20713,11342,3830,883,6,18905,9676,6505,2186,538,0,8565,4647,2897,863,158,0,4222,2226,1451,466,79,0,4479,2420,1470,493,96,0,158,93,47,15,3,0
,,Colorado,5736,3109,1964,540,121,2,5354,2887,1838,511,116,2,2596,1251,980,298,67,0,1210,613,436,134,27,0,756,374,289,80,13,0,494,238,190,54,12,0,42,17,22,3,0,0
,,Connecticut,4061,2230,1316,423,91,1,3821,2097,1239,400,84,1,1664,795,611,206,52,0,725,353,270,85,17,0,354,181,119,50,4,0,273,136,99,32,6,0,21,13,8,0,0,0
,,Delaware,1499,790,498,174,37,0,1386,729,460,163,34,0,857,414,306,115,22,0,328,158,119,46,5,0,204,99,75,27,3,0,199,94,75,27,3,0,13,7,5,0,1,0
,,District of Columbia,1034,601,244,165,24,0,955,560,224,148,23,0,475,255,117,86,17,0,185,97,47,32,9,0,156,94,34,23,5,0,112,57,29,23,3,0,8,7,0,1,0,0
