Donor Type,Donor Age,Donor State of Residence,All Donors - All Genders,All Donors - Male,All Donors - Female,All Donors - Unknown,Kidney - All Genders,Kidney - Male,Kidney - Female,Kidney - Unknown,Liver - All Genders,Liver - Male,Liver - Female,Liver - Unknown,Heart - All Genders,Heart - Male,Heart - Female,Heart - Unknown,Pancreas - All Genders,Pancreas - Male,Pancreas - Female,Pancreas - Unknown,Lung - All Genders,Lung - Male,Lung - Female,Lung - Unknown,Intestine - All Genders,Intestine - Male,Intestine - Female,Intestine - Unknown
All Donor Types,All Ages,All Donor States of Residence,387089,199626,187462,1,360646,184762,175883,1,187160,111108,76052,0,78109,53411,24698,0,46574,30911,15663,0,39849,24061,15788,0,3430,2011,1419,0
,,Alabama,6338,3297,3041,0,6014,3096,2918,0,3111,1880,1231,0,1193,854,339,0,603,433,170,0,572,379,193,0,36,22,14,0
,,Alaska,1008,556,452,0,979,537,442,0,499,321,178,0,210,165,45,0,150,121,29,0,129,86,43,0,1,1,0,0
,,Arizona,7007,3627,3380,0,6666,3438,3228,0,3242,2018,1224,0,1341,955,386,0,687,474,213,0,754,483,271,0,45,34,11,0
,,Arkansas,3121,1629,1492,0,2938,1524,1414,0,1766,1035,731,0,811,565,246,0,419,278,141,0,372,196,176,0,56,33,23,0
,,California,39248,20681,18567,0,36774,19275,17499,0,18905,11616,7289,0,8565,6009,2556,0,4222,2908,1314,0,4479,2787,1692,0,158,87,71,0
,,Colorado,5736,2950,2786,0,5354,2742,2612,0,2596,1531,1065,0,1210,827,383,0,756,476,280,0,494,291,203,0,42,23,19,0
,,Connecticut,4061,2062,1999,0,3821,1929,1892,0,1664,1003,661,0,725,511,214,0,354,242,112,0,273,187,86,0,21,13,8,0
,,Delaware,1499,790,709,0,1386,723,663,0,857,503,354,0,328,222,106,0,204,139,65,0,199,126,73,0,13,10,3,0
,,District of Columbia,1034,562,472,0,955,516,439,0,475,291,184,0,185,138,47,0,156,116,40,0,112,67,45,0,8,6,2,0
,,Florida,20774,11142,9632,0,19064,10181,8883,0,11974,7148,4826,0,4588,3129,1459,0,2682,1805,877,0,2408,1392,1016,0,388,233,155,0
,,Georgia,10557,5230,5327,0,9581,4659,4922,0,5562,3186,2376,0,2367,1601,766,0,981,692,289,0,1172,683,489,0,117,65,52,0
,,Hawaii,1303,732,571,0,1256,709,547,0,594,382,212,0,69,56,13,0,109,84,25,0,32,15,17,0,1,1,0,0
,,Idaho,1676,869,807,0,1601,825,776,0,779,484,295,0,374,257,117,0,201,138,63,0,148,99,49,0,15,6,9,0
,,Illinois,17991,9401,8590,0,16603,8634,7969,0,7906,4733,3173,0,3052,2090,962,0,2659,1717,942,0,1852,1144,708,0,159,100,59,0
,,Indiana,7895,4048,3847,0,7467,3803,3664,0,4128,2436,1692,0,1950,1341,609,0,1218,796,422,0,1010,599,411,0,204,123,81,0
,,Iowa,3825,1926,1899,0,3666,1840,1826,0,1674,981,693,0,719,466,253,0,561,355,206,0,353,192,161,0,39,16,23,0
,,Kansas,3656,2011,1645,0,3431,1880,1551,0,2141,1303,838,0,937,650,287,0,659,431,228,0,501,313,188,0,51,30,21,0
,,Kentucky,4756,2495,2261,0,4521,2340,2181,0,2486,1520,966,0,1091,753,338,0,701,458,243,0,542,336,206,0,47,23,24,0
