Donor Type,Donor State of Residence,Donor Ethnicity,All Donors - All Genders,All Donors - Male,All Donors - Female,All Donors - Unknown,Kidney - All Genders,Kidney - Male,Kidney - Female,Kidney - Unknown,Liver - All Genders,Liver - Male,Liver - Female,Liver - Unknown,Heart - All Genders,Heart - Male,Heart - Female,Heart - Unknown,Pancreas - All Genders,Pancreas - Male,Pancreas - Female,Pancreas - Unknown,Lung - All Genders,Lung - Male,Lung - Female,Lung - Unknown,Intestine - All Genders,Intestine - Male,Intestine - Female,Intestine - Unknown
All Donor Types,All Donor States of Residence,All Ethnicities,387089,199626,187462,1,360646,184762,175883,1,187160,111108,76052,0,78109,53411,24698,0,46574,30911,15663,0,39849,24061,15788,0,3430,2011,1419,0
,,White,273107,138396,134711,0,255889,128862,127027,0,130749,75958,54791,0,53987,36019,17968,0,33376,21328,12048,0,26230,15187,11043,0,2171,1235,936,0
,,Black,50384,27165,23219,0,45451,24308,21143,0,27195,16586,10609,0,10963,7854,3109,0,6477,4775,1702,0,6678,4389,2289,0,664,423,241,0
,,Hispanic,47857,26515,21342,0,44589,24610,19979,0,22462,14788,7674,0,10972,8102,2870,0,5393,3948,1445,0,5409,3667,1742,0,485,295,190,0
,,Unknown,328,173,154,1,309,162,146,1,169,102,67,0,83,55,28,0,52,31,21,0,21,11,10,0,4,3,1,0
,,Asian,9780,4544,5236,0,9150,4203,4947,0,4037,2142,1895,0,1153,704,449,0,710,419,291,0,983,469,514,0,55,24,31,0
,,American Indian/Alaska Native,1736,825,911,0,1661,788,873,0,677,407,270,0,345,235,110,0,198,143,55,0,162,106,56,0,13,7,6,0
,,Pacific Islander,1248,630,618,0,1188,602,586,0,445,255,190,0,121,76,45,0,90,64,26,0,87,47,40,0,4,2,2,0
,,Multiracial,2649,1378,1271,0,2409,1227,1182,0,1426,870,556,0,485,366,119,0,278,203,75,0,279,185,94,0,34,22,12,0
,Alabama,All Ethnicities,6338,3297,3041,0,6014,3096,2918,0,3111,1880,1231,0,1193,854,339,0,603,433,170,0,572,379,193,0,36,22,14,0
,,White,4714,2405,2309,0,4510,2278,2232,0,2290,1357,933,0,881,614,267,0,441,301,140,0,401,255,146,0,24,14,10,0
,,Black,1494,815,679,0,1379,744,635,0,760,476,284,0,275,211,64,0,150,122,28,0,158,114,44,0,9,6,3,0
,,Hispanic,72,47,25,0,70,45,25,0,35,31,4,0,25,22,3,0,7,7,0,0,8,7,1,0,2,2,0,0
,,Unknown,2,1,1,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Asian,40,21,19,0,38,20,18,0,17,11,6,0,7,4,3,0,4,2,2,0,3,2,1,0,1,0,1,0
,,American Indian/Alaska Native,5,3,2,0,5,3,2,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,,Pacific Islander,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Multiracial,10,5,5,0,10,5,5,0,6,4,2,0,3,2,1,0,0,0,0,0,2,1,1,0,0,0,0,0
,Alaska,All Ethnicities,1008,556,452,0,979,537,442,0,499,321,178,0,210,165,45,0,150,121,29,0,129,86,43,0,1,1,0,0
,,White,770,422,348,0,745,406,339,0,364,231,133,0,155,119,36,0,107,85,22,0,95,63,32,0,0,0,0,0
,,Black,40,22,18,0,39,21,18,0,21,15,6,0,7,4,3,0,8,6,2,0,6,4,2,0,0,0,0,0
,,Hispanic,21,14,7,0,20,13,7,0,11,8,3,0,7,6,1,0,2,1,1,0,2,1,1,0,0,0,0,0
,,Asian,25,13,12,0,24,12,12,0,17,10,7,0,7,6,1,0,3,3,0,0,7,3,4,0,0,0,0,0
,,American Indian/Alaska Native,135,77,58,0,134,77,57,0,78,52,26,0,32,28,4,0,29,25,4,0,17,14,3,0,1,1,0,0
,,Pacific Islander,10,4,6,0,10,4,6,0,5,3,2,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0
,,Multiracial,7,4,3,0,7,4,3,0,3,2,1,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,Arizona,All Ethnicities,7007,3627,3380,0,6666,3438,3228,0,3242,2018,1224,0,1341,955,386,0,687,474,213,0,754,483,271,0,45,34,11,0
,,White,4802,2427,2375,0,4557,2297,2260,0,2222,1339,883,0,886,617,269,0,451,303,148,0,492,303,189,0,23,18,5,0
,,Black,331,184,147,0,304,167,137,0,177,110,67,0,66,45,21,0,30,17,13,0,43,26,17,0,1,1,0,0
,,Hispanic,1516,859,657,0,1453,819,634,0,730,501,229,0,331,254,77,0,184,138,46,0,184,135,49,0,19,13,6,0
,,Unknown,2,2,0,0,2,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,,Asian,101,41,60,0,99,40,59,0,40,20,20,0,18,10,8,0,7,4,3,0,13,4,9,0,0,0,0,0
,,American Indian/Alaska Native,192,78,114,0,188,77,111,0,48,30,18,0,25,18,7,0,10,8,2,0,18,11,7,0,1,1,0,0
