Donor Type,Donor Age,Donor State of Residence,All Donors - All History of Diabetes,All Donors - NA before 4/1/1994,All Donors - NO,All Donors - UNKNOWN,"All Donors - YES, >10 YEARS","All Donors - YES, 0-5 YEARS","All Donors - YES, 6-10 YEARS","All Donors - YES, UNKNOWN DURATION",Kidney - All History of Diabetes,Kidney - NA before 4/1/1994,Kidney - NO,Kidney - UNKNOWN,"Kidney - YES, >10 YEARS","Kidney - YES, 0-5 YEARS","Kidney - YES, 6-10 YEARS","Kidney - YES, UNKNOWN DURATION",Liver - All History of Diabetes,Liver - NA before 4/1/1994,Liver - NO,Liver - UNKNOWN,"Liver - YES, >10 YEARS","Liver - YES, 0-5 YEARS","Liver - YES, 6-10 YEARS","Liver - YES, UNKNOWN DURATION",Heart - All History of Diabetes,Heart - NA before 4/1/1994,Heart - NO,Heart - UNKNOWN,"Heart - YES, >10 YEARS","Heart - YES, 0-5 YEARS","Heart - YES, 6-10 YEARS","Heart - YES, UNKNOWN DURATION",Pancreas - All History of Diabetes,Pancreas - NA before 4/1/1994,Pancreas - NO,Pancreas - UNKNOWN,"Pancreas - YES, >10 YEARS","Pancreas - YES, 0-5 YEARS","Pancreas - YES, 6-10 YEARS","Pancreas - YES, UNKNOWN DURATION",Lung - All History of Diabetes,Lung - NA before 4/1/1994,Lung - NO,Lung - UNKNOWN,"Lung - YES, >10 YEARS","Lung - YES, 0-5 YEARS","Lung - YES, 6-10 YEARS","Lung - YES, UNKNOWN DURATION",Intestine - All History of Diabetes,Intestine - NA before 4/1/1994,Intestine - NO,Intestine - UNKNOWN,"Intestine - YES, >10 YEARS","Intestine - YES, 0-5 YEARS","Intestine - YES, 6-10 YEARS","Intestine - YES, UNKNOWN DURATION"
All Donor Types,All Ages,All Donor States of Residence,387089,192950,174106,1179,6134,7219,3396,2105,360646,183711,161867,1048,3607,6106,2658,1649,187160,25620,145479,924,5273,5508,2707,1649,78109,13306,62912,287,365,820,263,156,46574,6051,40292,119,9,64,6,33,39849,3007,34512,149,777,806,385,213,3430,127,3265,6,4,17,7,4
,,Alabama,6338,3097,2906,14,106,105,56,54,6014,3052,2702,12,71,87,45,45,3111,320,2511,12,93,85,47,43,1193,211,953,1,6,15,2,5,603,60,543,0,0,0,0,0,572,49,501,0,7,9,2,4,36,2,34,0,0,0,0,0
,,Alaska,1008,472,514,1,4,13,0,4,979,458,501,1,3,12,0,4,499,69,419,0,3,6,0,2,210,32,176,0,0,2,0,0,150,20,130,0,0,0,0,0,129,10,115,0,1,2,0,1,1,0,1,0,0,0,0,0
,,Arizona,7007,3584,3090,47,103,104,45,34,6666,3410,2979,45,67,97,39,29,3242,372,2611,35,89,77,36,22,1341,187,1108,13,10,14,7,2,687,25,661,1,0,0,0,0,754,60,657,5,15,12,3,2,45,1,44,0,0,0,0,0
,,Arkansas,3121,1329,1651,7,37,57,26,14,2938,1287,1544,7,18,52,20,10,1766,185,1462,5,32,46,23,13,811,133,664,3,3,7,1,0,419,50,366,2,0,1,0,0,372,17,337,0,8,6,4,0,56,0,56,0,0,0,0,0
,,California,39248,19802,17473,197,588,690,303,195,36774,18592,16574,183,384,621,250,170,18905,2856,14513,147,498,503,236,152,8565,1395,6951,49,45,75,28,22,4222,434,3770,9,2,2,0,5,4479,383,3780,33,102,98,51,32,158,3,153,1,0,0,0,1
,,Colorado,5736,3190,2381,15,31,65,27,27,5354,2973,2251,15,15,57,23,20,2596,482,1982,10,28,48,24,22,1210,227,962,4,2,8,3,4,756,178,574,3,0,1,0,0,494,44,437,3,0,6,4,0,42,1,40,1,0,0,0,0
,,Connecticut,4061,2399,1519,13,37,53,22,18,3821,2270,1443,12,20,44,19,13,1664,288,1253,12,36,42,18,15,725,132,581,2,2,4,3,1,354,28,322,2,1,0,0,1,273,25,232,1,5,5,4,1,21,0,20,1,0,0,0,0
,,Delaware,1499,561,808,6,41,50,24,9,1386,530,757,6,25,45,17,6,857,79,673,5,35,38,20,7,328,34,280,2,4,6,1,1,204,31,171,1,0,1,0,0,199,10,180,1,3,4,1,0,13,0,13,0,0,0,0,0
,,District of Columbia,1034,566,384,10,33,18,15,8,955,542,355,9,20,12,10,7,475,84,324,5,28,15,13,6,185,43,138,1,2,0,1,0,156,24,131,1,0,0,0,0,112,7,97,0,4,1,1,2,8,0,8,0,0,0,0,0
,,Florida,20774,7872,11666,77,363,474,212,110,19064,7648,10533,62,210,381,150,80,11974,1121,9874,58,304,354,173,90,4588,658,3838,10,19,44,15,4,2682,365,2306,5,0,5,0,1,2408,135,2160,4,35,44,26,4,388,7,377,0,0,3,0,1
,,Georgia,10557,4677,5228,11,233,248,137,23,9581,4551,4622,9,94,190,95,20,5562,461,4528,6,219,207,123,18,2367,296,2026,3,5,26,10,1,981,66,915,0,0,0,0,0,1172,45,1043,3,31,24,22,4,117,0,116,0,0,1,0,0
,,Hawaii,1303,585,656,4,10,35,7,6,1256,564,640,4,7,31,6,4,594,52,505,3,9,16,4,5,69,20,49,0,0,0,0,0,109,9,99,1,0,0,0,0,32,1,30,0,0,1,0,0,1,0,1,0,0,0,0,0
,,Idaho,1676,851,776,3,15,13,12,6,1601,812,745,3,13,11,11,6,779,103,638,3,12,9,10,4,374,69,300,1,2,1,1,0,201,27,172,2,0,0,0,0,148,9,132,0,3,2,2,0,15,0,15,0,0,0,0,0
,,Illinois,17991,9594,7455,37,278,363,162,102,16603,9059,6881,32,153,286,120,72,7906,1242,5950,32,224,264,122,72,3052,533,2436,13,17,35,14,4,2659,344,2299,6,2,6,0,2,1852,177,1570,6,38,39,15,7,159,22,133,0,1,1,2,0
,,Indiana,7895,3735,3812,13,99,137,57,42,7467,3632,3557,12,69,117,47,33,4128,465,3365,12,86,114,49,37,1950,326,1577,6,9,22,5,5,1218,113,1101,1,0,3,0,0,1010,70,882,1,19,24,10,4,204,5,196,0,0,3,0,0
,,Iowa,3825,2179,1526,3,41,47,18,11,3666,2113,1452,3,33,42,14,9,1674,261,1311,3,34,41,14,10,719,137,571,1,2,7,1,0,561,108,451,1,0,1,0,0,353,39,302,0,3,7,1,1,39,1,38,0,0,0,0,0
,,Kansas,3656,1385,2084,3,67,70,37,10,3431,1327,1966,3,38,59,28,10,2141,266,1705,3,64,63,33,7,937,160,757,0,2,15,3,0,659,92,563,2,0,2,0,0,501,30,447,0,8,12,4,0,51,2,49,0,0,0,0,0
,,Kentucky,4756,2216,2334,13,60,84,32,17,4521,2156,2192,13,40,76,30,14,2486,290,2029,11,49,61,31,15,1091,187,880,4,2,13,3,2,701,110,588,2,0,0,0,1,542,43,467,3,10,11,5,3,47,0,47,0,0,0,0,0
,,Louisiana,5950,2362,3262,12,94,122,45,53,5436,2298,2929,9,36,101,29,34,3652,383,2979,10,89,101,42,48,1498,293,1180,3,6,8,4,4,984,126,850,3,0,4,0,1,822,67,717,0,8,17,4,9,77,2,74,0,0,1,0,0
,,Maine,1770,968,727,1,21,32,17,4,1649,889,701,1,13,29,15,1,783,152,575,1,17,21,14,3,336,66,261,1,1,6,1,0,208,16,192,0,0,0,0,0,136,22,109,0,2,1,2,0,17,0,17,0,0,0,0,0
,,Maryland,8941,4866,3485,31,195,212,94,58,8304,4597,3270,27,127,172,67,44,4035,565,2982,24,163,173,81,47,1436,214,1180,6,7,15,4,10,1162,116,1036,5,0,2,0,3,1007,52,863,4,30,27,14,17,54,3,50,0,0,0,0,1
,,Massachusetts,7947,4764,2858,17,87,123,54,44,7368,4401,2693,16,64,109,46,39,3063,601,2228,14,73,83,34,30,1242,209,987,4,7,26,5,4,615,51,559,2,0,1,1,1,536,63,454,2,9,3,2,3,34,1,31,0,0,0,2,0
,,Michigan,14393,7593,6115,33,200,245,119,88,13598,7333,5729,31,114,218,96,77,6036,840,4735,25,150,158,74,54,2549,380,2109,4,13,27,12,4,1425,142,1277,4,0,1,1,0,1555,80,1379,6,35,32,13,10,154,2,150,0,0,0,2,0
,,Minnesota,8474,5592,2642,13,91,81,33,22,8017,5324,2514,13,50,74,26,16,3091,587,2311,12,81,54,28,18,1307,252,1023,5,4,15,7,1,1403,318,1081,2,0,0,1,1,697,96,573,3,5,16,3,1,90,5,84,0,0,1,0,0
,,Mississippi,3136,1194,1775,6,41,63,26,31,2933,1151,1651,4,30,52,21,24,1726,132,1462,5,35,54,17,21,721,92,612,0,2,11,1,3,395,19,373,1,0,0,0,2,316,17,281,0,3,10,2,3,63,1,59,0,0,2,0,1
,,Missouri,7950,3102,4352,12,176,166,99,43,7236,2991,3927,9,87,130,64,28,4631,491,3706,10,160,144,84,36,1863,310,1519,1,5,21,5,2,1127,189,935,1,0,2,0,0,1218,72,1066,1,34,25,14,6,102,3,99,0,0,0,0,0
,,Montana,1236,658,548,3,5,9,7,6,1178,628,528,2,3,8,4,5,577,98,457,3,5,3,7,4,295,58,232,1,1,2,0,1,171,23,146,1,0,0,0,1,104,6,91,1,3,1,1,1,11,0,11,0,0,0,0,0
