Donor Age,Donor State of Residence,Donor Ethnicity,All Donors - All Donor Types,All Donors - Deceased Donor,All Donors - Living Donor,Kidney - All Donor Types,Kidney - Deceased Donor,Kidney - Living Donor,Liver - All Donor Types,Liver - Deceased Donor,Liver - Living Donor,Heart - All Donor Types,Heart - Deceased Donor,Heart - Living Donor,Pancreas - All Donor Types,Pancreas - Deceased Donor,Pancreas - Living Donor,Lung - All Donor Types,Lung - Deceased Donor,Lung - Living Donor,Intestine - All Donor Types,Intestine - Deceased Donor,Intestine - Living Donor
All Ages,All Donor States of Residence,All Ethnicities,387089,222013,165076,360646,203365,157281,187160,179950,7210,78109,78066,43,46574,46502,72,39849,39371,478,3430,3386,44
,,White,273107,156216,116891,255889,145100,110789,130749,125159,5590,53987,53945,42,33376,33316,60,26230,25807,423,2171,2145,26
,,Black,50384,31290,19094,45451,26758,18693,27195,26810,385,10963,10963,0,6477,6472,5,6678,6672,6,664,655,9
,,Hispanic,47857,26660,21197,44589,24351,20238,22462,21550,912,10972,10971,1,5393,5389,4,5409,5370,39,485,476,9
,,Unknown,328,217,111,309,201,108,169,167,2,83,83,0,52,51,1,21,20,1,4,4,0
,,Asian,9780,4645,5135,9150,4244,4906,4037,3815,222,1153,1153,0,710,708,2,983,976,7,55,55,0
,,American Indian/Alaska Native,1736,872,864,1661,817,844,677,657,20,345,345,0,198,198,0,162,162,0,13,13,0
,,Pacific Islander,1248,530,718,1188,488,700,445,429,16,121,121,0,90,90,0,87,85,2,4,4,0
,,Multiracial,2649,1583,1066,2409,1406,1003,1426,1363,63,485,485,0,278,278,0,279,279,0,34,34,0
,Alabama,All Ethnicities,6338,3750,2588,6014,3452,2562,3111,3091,20,1193,1191,2,603,602,1,572,569,3,36,36,0
,,White,4714,2800,1914,4510,2621,1889,2290,2271,19,881,879,2,441,440,1,401,398,3,24,24,0
,,Black,1494,874,620,1379,760,619,760,759,1,275,275,0,150,150,0,158,158,0,9,9,0
,,Hispanic,72,42,30,70,40,30,35,35,0,25,25,0,7,7,0,8,8,0,2,2,0
,,Unknown,2,2,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Asian,40,22,18,38,20,18,17,17,0,7,7,0,4,4,0,3,3,0,1,1,0
,,American Indian/Alaska Native,5,2,3,5,2,3,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
,,Pacific Islander,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
,,Multiracial,10,7,3,10,7,3,6,6,0,3,3,0,0,0,0,2,2,0,0,0,0
